,Country Name,Country Border Name,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017
193,Guinea,Liberia,4.5710000000000015,3.622,3.532999992370609
194,Guinea,Mali,3.995,4.073,4.19000005722046
195,Guinea,Senegal,3.904,4.2189999999999985,4.53499984741211
196,Guinea,Sierra Leone,4.507,4.635,4.70900011062622
197,Greece,Albania,4.959,4.655,4.64400005340576
198,Greece,Bulgaria,4.218,4.217,4.71400022506714
199,Greece,Macedonia,5.007,5.121,5.1750001907348615
200,Greece,Turkey,5.332000000000002,5.3889999999999985,5.5
201,Guatemala,Belize,,5.956,5.955999851226809
202,Guatemala,El Salvador,6.13,6.068,6.0029997825622585
203,Guatemala,Honduras,4.788,4.871,5.1810002326965305
204,Guatemala,Mexico,7.187,6.778,6.57800006866455
205,Guinea,Guinea,3.656,3.607,3.50699996948242
206,Guinea,Senegal,3.904,4.2189999999999985,4.53499984741211
207,Ghana,Brazil,6.983,6.952000000000001,6.63500022888184
208,Ghana,Suriname,6.269,6.269,
209,Ghana,Venezuela,6.81,6.084,5.25
210,Hong Kong,China,5.14,5.245,5.2729997634887695
211,Honduras,El Salvador,6.13,6.068,6.0029997825622585
212,Honduras,Guatemala,6.122999999999998,6.324,6.4539999961853
213,Honduras,Nicaragua,5.8279999999999985,5.992000000000001,6.07100009918213
214,Croatia,Bosnia and Herzegovina,4.949,5.1629999999999985,5.18200016021729
215,Croatia,Hungary,4.8,5.145,5.32399988174438
216,Croatia,Montenegro,5.192,5.1610000000000005,5.23699998855591
217,Croatia,Serbia,5.122999999999998,5.1770000000000005,5.39499998092651
218,Croatia,Slovenia,5.848,5.768,5.75799989700317
219,Haiti,Dominican Republic,4.885,5.155,5.230000019073491
220,Hungary,Austria,7.2,7.119,7.00600004196167
221,Hungary,Croatia,5.759,5.488,5.2930002212524405
222,Hungary,Romania,5.124,5.528,5.824999809265139
223,Hungary,Serbia,5.122999999999998,5.1770000000000005,5.39499998092651
224,Hungary,Slovakia,5.995,6.0779999999999985,6.09800004959106
225,Hungary,Slovenia,5.848,5.768,5.75799989700317
226,Hungary,Ukraine,4.681,4.324,4.09600019454956
227,Indonesia,Malaysia,5.77,6.005,6.08400011062622
228,Ireland,United Kingdom,6.867000000000001,6.725,6.71400022506714
229,Israel,Egypt,4.194,4.362,4.7350001335144
230,Israel,Jordan,5.192,5.303,5.33599996566772
231,Israel,Lebanon,4.839,5.129,5.22499990463257
232,Israel,Palestine,,,
